track_name,artists,tempo,energy,loudness,valence
My Little Pony,Patton Oswalt,136.475,0.339,-19.111,0.575
ナニカガイル,NGT48,168.899,0.901,-3.295,0.886
別再想見我,許光漢,141.849,0.417,-7.749,0.427
Pressurelicious,Megan Thee Stallion;Future,146.972,0.723,-5.18,0.667
Origin,Far Out,153.962,0.865,-3.7,0.164
Left and Right,Charlie Puth;Jung Kook,101.058,0.592,-4.898,0.719
Красной помадой,FACE,131.934,0.517,-9.095,0.147
Perpetual Dawn,The Orb,102.741,0.786,-14.631,0.38
Stitches,Shawn Mendes,74.99,0.74,-6.662,0.737
Great Spirit,Armin van Buuren;Vini Vici;Hilight Tribe,103.517,0.911,-7.975,0.211
Sab Tera,Armaan Malik;Shraddha Kapoor,159.775,0.642,-5.864,0.427
Let Me Talk to You,Ray Price,84.841,0.203,-14.63,0.264
"La Plaga (Good Golly, Miss Molly)",Los Teen Tops,182.885,0.857,-7.037,0.96
The Fire Within Him Burns,Kvaen;Mathias Lillmåns,179.998,0.824,-13.332,0.0648
SOS - Acoustic Covers Versions,Covers Culture,76.851,0.109,-11.997,0.64
Deutschland,Rammstein,120.117,0.895,-5.242,0.237
Life is Beautiful,Sixx:A.M.,89.998,0.895,-4.443,0.399
Last Christmas,Mariah Angeliq,112.026,0.812,-5.77,0.968
Dura,Daddy Yankee,95.002,0.84,-3.416,0.838
Til the Sun Comes Up,Tucka,110.048,0.66,-4.099,0.967
Vals De Rodrigues,Eric Badanti,111.355,0.0368,-24.304,0.119
Malena,Carlos Lombardi;Los Românticos De La Noche,116.827,0.327,-13.577,0.503
Vigilante,Front Line Assembly,106.047,0.936,-9.4,0.152
メレンゲ,Macaroni Empitsu,103.982,0.697,-3.988,0.647
"Una Mattina (from ""The Intouchables"")",Jacob's Piano,133.6,0.076,-22.115,0.0984
Fim de Nós 2,BIN;Azevedo;Mainstreet;Kizzy,119.842,0.467,-7.674,0.486
Tutu,Camilo;Pedro Capó,146.013,0.832,-2.592,0.94
Swarms of Song - Deutsche Version,Belle,129.56,0.526,-12.49,0.251
Puxadinho (Ao Vivo),Murilo Huff,110.953,0.849,-3.125,0.585
World Of Pauline Lewis,Television Personalities,142.325,0.787,-8.819,0.73
Game Over,Karan Aujla,134.144,0.573,-6.005,0.553
Raatein,Jasleen Royal,129.988,0.401,-12.029,0.311
波打ち際を走らないか?,Keyakizaka46,151.976,0.862,-2.347,0.512
Hands Up To The Sky,Jake Eaw,98.006,0.269,-18.953,0.26
Sad Girls,Clean Bandit;French The Kid;Rema,115.016,0.847,-7.808,0.529
Home,Robert Hood,137.675,0.896,-13.426,0.36
Don't Shoot Me Santa,The Killers;Ryan Pardey,120.041,0.847,-4.164,0.662
LA CANCIÓN,J Balvin;Bad Bunny,176.088,0.646,-5.795,0.429
On My Way - Da Tweekaz Remix,Alan Walker;Sabrina Carpenter;Farruko;Da Tweekaz,149.936,0.848,-3.85,0.48
Suavemente,Soolking;Boro Boro,140.019,0.682,-5.212,0.507
El Regreso,Sergent Garcia,99.951,0.773,-3.118,0.796
O Seu Amor por Mim - Ao Vivo,Weslei Santos,139.792,0.399,-9.954,0.374
奏(かなで),Sukima Switch,149.839,0.666,-6.163,0.461
"Empty Chairs at Empty Tables (From ""Les Miserables"")",Collabro,172.034,0.13,-15.167,0.0899
AEIOU,Justin Quiles;Robin Schulz,126.108,0.856,-3.394,0.706
Fogos de Artifícios,Alan Menken;Disney,117.235,0.0651,-22.713,0.0936
Tunggulah Tunggu,Monkey Boots,120.058,0.531,-8.086,0.928
I fucked up,convolk,80.503,0.708,-6.005,0.282
I Am A Pizza,Amy Liz,130.032,0.293,-10.173,0.692
Light Up,Helen Jane Long,54.362,0.271,-14.398,0.197
2002 - Acoustic,Amber Leigh Irish,165.799,0.296,-9.335,0.611
I Saw Mommy Kissing Santa Claus,The Jackson 5,128.89,0.705,-8.169,0.64
Amazing Grace (feat. Corlea) - Live,Amira Willighagen;Corlea,85.166,0.478,-10.158,0.178
E Aí? - Ao Vivo,Matogrosso & Mathias;Gusttavo Lima,132.031,0.672,-5.161,0.586
Gunehgar,DIVINE,94.259,0.906,-4.15,0.541
Real McCoy,State of Mind,175.034,0.899,-8.211,0.454
STAR,BiSH,140.134,0.841,-4.252,0.613
Hawái - Remix,Maluma;The Weeknd,179.984,0.788,-3.128,0.609
Disconnected,James Hype;Tita Lau,125.995,0.811,-6.476,0.594
Freedom - Sub Focus & Wilkinson,Sub Focus;Wilkinson;Empara Mi,174.096,0.837,-4.083,0.0395
Ohms,Deftones,173.097,0.978,-2.64,0.371
Come Back as a Country Boy,Blake Shelton,76.069,0.796,-3.965,0.447
Pran,Ritviz,90.916,0.484,-8.715,0.61
Zombie,Eddy Tyler,82.025,0.4,-11.811,0.197
Primero Fui Yo,Frankie Ruiz,97.427,0.571,-10.234,0.96
Like We Used To,A Rocket To The Moon,170.113,0.71,-3.08,0.383
Las Tribus,Julieta Laso,97.943,0.391,-8.827,0.343
Figure It Out,Royal Blood,108.016,0.814,-4.631,0.69
Quack Kills,Psychostick,98.444,0.706,-6.196,0.466
Land of the Elves,Achillea,119.723,0.108,-20.024,0.0377
Aliança,Vitor Fernandes,162.058,0.728,-5.234,0.831
Chora De Tabela - Ao Vivo,Matheus & Kauan,151.655,0.869,-5.182,0.459
Toi - Boris Brejcha Remix,Worakls;Boris Brejcha,124.992,0.429,-11.657,0.165
Qué Más Pues?,J Balvin;Maria Becerra,101.968,0.819,-3.964,0.768
